No,L,C,fsw,delta_current,delta_voltage,Pl_s1,Pl_s2,Pl_C,Pl_L_Cu
3916,0.000408,0.000506,162105,1.7869829611424168,12.994815705745621,2.798501104998382,2.798501104998382,0.0023365756065561174,0.867351472713748
3917,0.000408,0.000506,171578,1.7886163796727563,12.988231149086667,2.8842832162034115,2.8842832162034115,0.0022109280519797656,0.8690213971578975
3918,0.000408,0.000506,181052,1.784257942700022,12.975823010267753,2.9677537939499015,2.9677537939499015,0.002094967349962539,0.8680339948895518
3919,0.000408,0.000506,190526,1.7780609915257848,13.005209801968423,3.0551696807482274,3.0551696807482274,0.0019957063214903667,0.8689230853082742
3920,0.000408,0.000506,200000,1.7741234613344146,12.985198393914576,3.1394672224778777,3.1394672224778777,0.0019018277433749992,0.8684323848843477
3921,0.000408,0.00045,20000,2.191715231748465,20.266136953896428,1.0924858397551664,1.0924858397551664,0.010897350007792022,0.4796682441999246
3922,0.000408,0.00045,29473,1.9254319955463814,20.267441576663632,1.172919089844999,1.172919089844999,0.0075731970985964195,0.46514731864314185
3923,0.000408,0.00045,38947,1.7992489688231081,20.316540386088747,1.2409071494566766,1.2409071494566766,0.005777575440176011,0.4569532662370381
3924,0.000408,0.00045,48421,1.7169831761559953,20.351765629681914,1.3109829567793478,1.3109829567793478,0.004705207394221899,0.45484926678111987
3925,0.000408,0.00045,57894,1.6737636496856583,20.401352530971188,1.3689022183725768,1.3689022183725768,0.0039132336279409635,0.4483644854655516
3926,0.000408,0.00045,67368,1.6460958022760408,20.3712548911809,1.428035121560019,1.428035121560019,0.0033524106065400665,0.4444956749099737
3927,0.000408,0.00045,76842,1.663451340590679,20.391677682041365,1.4881558138062267,1.4881558138062267,0.002935066360386633,0.4458226249850666
3928,0.000408,0.00045,86315,1.6436421898900018,20.442836475923837,1.5441080309854853,1.5441080309854853,0.002595928291155918,0.44108893650730496
3929,0.000408,0.00045,95789,1.6219576167606498,20.399500885898092,1.6065538861640125,1.6065538861640125,0.0023440684826357486,0.4399825129250733
3930,0.000408,0.00045,105263,1.608831877892469,20.398308152062494,1.6639214352541736,1.6639214352541736,0.002124339046682397,0.4369782522242987
3931,0.000408,0.00045,114736,1.6020725570113559,20.449614430821878,1.7169353467021744,1.7169353467021744,0.0019317577156624857,0.43253288498563003
3932,0.000408,0.00045,124210,1.593936665195883,20.43148197741812,1.7733986371426786,1.7733986371426786,0.0017765984542483042,0.4299118659556202
3933,0.000408,0.00045,133684,1.5902437526433912,20.41853037657808,1.8262904043077874,1.8262904043077874,0.001637536801884889,0.426173063074718
3934,0.000408,0.00045,143157,1.588951704472183,20.4717795428214,1.8764054398975447,1.8764054398975447,0.0015132618241772455,0.4216439240912666
3935,0.000408,0.00045,152631,1.5953093562254959,20.48077183682208,1.9199743843658323,1.9199743843658323,0.001395864406766842,0.4152702185851372
3936,0.000408,0.00045,162105,1.6118669250117403,20.503050310465284,1.9635711024045976,1.9635711024045976,0.001293720547420496,0.410281423816254
3937,0.000408,0.00045,171578,1.6273578843931802,20.507539056854633,2.008185817098132,2.008185817098132,0.0012053644984633806,0.40600392691730236
3938,0.000408,0.00045,181052,1.6349067767134982,20.515824932067915,2.0485288278864533,2.0485288278864533,0.0011225668455176507,0.39967559614042475
3939,0.000408,0.00045,190526,1.6271540475837998,20.547605231580874,2.108497386316312,2.108497386316312,0.0010689856379197816,0.39983607242719504
3940,0.000408,0.00045,200000,1.621999567561743,20.521776129949778,2.165947625392704,2.165947625392704,0.0010180035377802643,0.39925389978376363
3941,0.000408,0.000618,20000,1.315750345451532,15.66890815090536,2.906430017729196,2.906430017729196,0.05505009223095457,2.7741810177489765
3942,0.000408,0.000618,29473,1.2562778537315995,15.883915302491308,3.0658935540095684,3.0658935540095684,0.037344375011064815,2.7473287460773275
3943,0.000408,0.000618,38947,1.1944277052775685,16.00806370094109,3.2382008849304125,3.2382008849304125,0.028504514807458654,2.7419578236242885
3944,0.000408,0.000618,48421,1.163261286612657,16.086556632835435,3.407826457660909,3.407826457660909,0.023076536113326527,2.7455474363613015
3945,0.000408,0.000618,57894,1.1523357180424079,16.175368839342823,3.5619957407965934,3.5619957407965934,0.019249609208481237,2.733561542912532
3946,0.000408,0.000618,67368,1.131239885012807,16.21105860019265,3.7275763472572163,3.7275763472572163,0.016604664058669692,2.7341947880712816
3947,0.000408,0.000618,76842,1.1326265952474133,16.213595091437274,3.8893401282128544,3.8893401282128544,0.014579335499896623,2.739137528764682
3948,0.000408,0.000618,86315,1.1196037751523353,16.18630828265158,4.048885287264358,4.048885287264358,0.012983318552674926,2.7340681256849715
3949,0.000408,0.000618,95789,1.1070579858411131,16.20337996543212,4.2160846641757725,4.2160846641757725,0.011745200962191083,2.739123562457858
3950,0.000408,0.000618,105263,1.1084298948405562,16.26919852735004,4.373889644610362,4.373889644610362,0.010681119649293216,2.73803120468443
3951,0.000408,0.000618,114736,1.1001672610527087,16.30326497271399,4.5348599178152345,4.5348599178152345,0.00980709714761821,2.7364948490772227
