Combination,Capacitance,Total Volume
"parallel:[0.0001] and series:[0.0001, 0.00082]",0.00018913,2.649e-06
"parallel:[0.0001] and series:[0.0001, 0.001]",0.000190909,3.14e-06
"parallel:[0.0001] and series:[0.0022, 0.00033]",0.000386957,1.675e-06
"parallel:[0.0001] and series:[0.0022, 0.00047]",0.000487266,1.926e-06
"parallel:[0.0001] and series:[0.0022, 0.00068]",0.000619444,2.492e-06
"parallel:[0.0001] and series:[0.0022, 0.00082]",0.000697351,2.885e-06
"parallel:[0.0001] and series:[0.0022, 0.001]",0.0007875,3.375e-06
"parallel:[0.0001] and series:[0.00033, 0.00047]",0.000293875,2.102e-06
"parallel:[0.0001] and series:[0.00033, 0.00068]",0.000322178,2.668e-06
"parallel:[0.0001] and series:[0.00033, 0.00082]",0.000335304,3.06e-06
"parallel:[0.0001] and series:[0.00033, 0.001]",0.00034812,3.551e-06
"parallel:[0.0001] and series:[0.00047, 0.00068]",0.000377913,2.919e-06
"parallel:[0.0001] and series:[0.00047, 0.00082]",0.00039876,3.312e-06
"parallel:[0.0001] and series:[0.00047, 0.001]",0.000419728,3.803e-06
"parallel:[0.0001] and series:[0.00068, 0.00082]",0.000471733,3.877e-06
"parallel:[0.0001] and series:[0.00068, 0.001]",0.000504762,4.368e-06
"parallel:[0.0001] and series:[0.00082, 0.001]",0.000550549,4.761e-06
"parallel:[0.0001] and series:[4.7e-05, 0.0001, 0.0022]",0.000131515,1.48e-06
"parallel:[0.0001] and series:[4.7e-05, 0.0001, 0.00033]",0.000129149,1.656e-06
"parallel:[0.0001] and series:[4.7e-05, 0.0001, 0.00047]",0.000129936,1.907e-06
"parallel:[0.0001] and series:[4.7e-05, 0.0001, 0.00068]",0.000130537,2.473e-06
"parallel:[0.0001] and series:[4.7e-05, 0.0001, 0.00082]",0.000130773,2.865e-06
"parallel:[0.0001] and series:[4.7e-05, 0.0001, 0.001]",0.000130982,3.356e-06
"parallel:[0.0001] and series:[4.7e-05, 0.0022, 0.00033]",0.000140385,1.891e-06
"parallel:[0.0001] and series:[4.7e-05, 0.0022, 0.00047]",0.000141913,2.142e-06
"parallel:[0.0001] and series:[4.7e-05, 0.0022, 0.00068]",0.0001431,2.708e-06
"parallel:[0.0001] and series:[4.7e-05, 0.0022, 0.00082]",0.000143572,3.101e-06
"parallel:[0.0001] and series:[4.7e-05, 0.0022, 0.001]",0.000143993,3.591e-06
"parallel:[0.0001] and series:[4.7e-05, 0.00033, 0.00047]",0.000137829,2.318e-06
"parallel:[0.0001] and series:[4.7e-05, 0.00033, 0.00068]",0.000138794,2.884e-06
"parallel:[0.0001] and series:[4.7e-05, 0.00033, 0.00082]",0.000139175,3.276e-06
"parallel:[0.0001] and series:[4.7e-05, 0.00033, 0.001]",0.000139515,3.767e-06
"parallel:[0.0001] and series:[4.7e-05, 0.00047, 0.00068]",0.000140201,3.135e-06
"parallel:[0.0001] and series:[4.7e-05, 0.00047, 0.00082]",0.000140611,3.528e-06
"parallel:[0.0001] and series:[4.7e-05, 0.00047, 0.001]",0.000140976,4.019e-06
"parallel:[0.0001] and series:[4.7e-05, 0.00068, 0.00082]",0.000141725,4.093e-06
"parallel:[0.0001] and series:[4.7e-05, 0.00068, 0.001]",0.00014211,4.584e-06
"parallel:[0.0001] and series:[4.7e-05, 0.00082, 0.001]",0.00014256,4.977e-06
"parallel:[0.0001] and series:[0.0001, 0.0022, 0.00033]",0.000174157,2.018e-06
