Combination,Cap(uF),Total_Volume(mm^2)
100.0 and 220.0 + 1000.0,280.327868852,3375.319293035
100.0 and 330.0 + 470.0,293.875,2102.188870168
100.0 and 330.0 + 680.0,322.178217822,2667.675547814
100.0 and 330.0 + 820.0,335.304347826,3060.374629513
100.0 and 330.0 + 1000.0,348.120300752,3551.248481636
100.0 and 470.0 + 680.0,377.913043478,2919.002960101
100.0 and 470.0 + 820.0,398.759689922,3311.7020418
100.0 and 470.0 + 1000.0,419.727891156,3802.575893923
100.0 and 680.0 + 820.0,471.733333333,3877.188719446
100.0 and 680.0 + 1000.0,504.761904762,4368.06257157
100.0 and 820.0 + 1000.0,550.549450549,4760.761653268
100.0 and 47.0 + 100.0 + 220.0,127.915766739,1479.83151151
100.0 and 47.0 + 100.0 + 330.0,129.148656268,1655.760700111
100.0 and 47.0 + 100.0 + 470.0,129.936305732,1907.088112398
100.0 and 47.0 + 100.0 + 680.0,130.536976878,2472.574790045
100.0 and 47.0 + 100.0 + 820.0,130.772916001,2865.273871743
100.0 and 47.0 + 100.0 + 1000.0,130.982201714,3356.147723867
100.0 and 47.0 + 220.0 + 330.0,134.659217877,1890.916764214
100.0 and 47.0 + 220.0 + 470.0,135.778546713,2142.244176501
100.0 and 47.0 + 220.0 + 680.0,136.639916623,2707.730854147
100.0 and 47.0 + 220.0 + 820.0,136.980111654,3100.429935846
100.0 and 47.0 + 220.0 + 1000.0,137.282757626,3591.30378797
100.0 and 47.0 + 330.0 + 470.0,137.829268293,2318.173365102
100.0 and 47.0 + 330.0 + 680.0,138.793541031,2883.660042748
100.0 and 47.0 + 330.0 + 820.0,139.175111659,3276.359124447
100.0 and 47.0 + 330.0 + 1000.0,139.514916817,3767.232976571
100.0 and 47.0 + 470.0 + 680.0,140.201257862,3134.987455036
100.0 and 47.0 + 470.0 + 820.0,140.611169652,3527.686536734
100.0 and 47.0 + 470.0 + 1000.0,140.976460331,4018.560388858
100.0 and 47.0 + 680.0 + 820.0,141.724566152,4093.173214381
100.0 and 47.0 + 680.0 + 1000.0,142.11025614,4584.047066504
100.0 and 47.0 + 820.0 + 1000.0,142.560240299,4976.746148203
100.0 and 100.0 + 220.0 + 330.0,156.896551724,2017.829253437
100.0 and 100.0 + 220.0 + 470.0,159.976798144,2269.156665725
100.0 and 100.0 + 220.0 + 680.0,162.437395659,2834.643343371
100.0 and 100.0 + 220.0 + 820.0,163.431786217,3227.34242507
100.0 and 100.0 + 220.0 + 1000.0,164.32748538,3718.216277193
100.0 and 100.0 + 330.0 + 470.0,165.97192684,2445.085854326
100.0 and 100.0 + 330.0 + 680.0,168.961278427,3010.572531972
100.0 and 100.0 + 330.0 + 820.0,170.176348548,3403.271613671
100.0 and 100.0 + 330.0 + 1000.0,171.274298056,3894.145465794
100.0 and 100.0 + 470.0 + 680.0,173.538886332,3261.899944259
100.0 and 100.0 + 470.0 + 820.0,174.922239502,3654.599025958
100.0 and 100.0 + 470.0 + 1000.0,176.175040519,4145.472878081
100.0 and 100.0 + 680.0 + 820.0,178.801582815,4220.085703604
100.0 and 100.0 + 680.0 + 1000.0,180.188679245,4710.959555727
100.0 and 100.0 + 820.0 + 1000.0,181.836327345,5103.658637426
100.0 and 220.0 + 330.0 + 470.0,203.056478405,2680.241918428
100.0 and 220.0 + 330.0 + 680.0,210.541871921,3245.728596075
100.0 and 220.0 + 330.0 + 820.0,213.697478992,3638.427677773
100.0 and 220.0 + 330.0 + 1000.0,216.607773852,4129.301529897
100.0 and 220.0 + 470.0 + 680.0,222.794271743,3497.056008362
100.0 and 220.0 + 470.0 + 820.0,226.700537956,3889.755090061
100.0 and 220.0 + 470.0 + 1000.0,230.325182758,4380.628942184
100.0 and 220.0 + 680.0 + 820.0,238.206399279,4455.241767707
100.0 and 220.0 + 680.0 + 1000.0,242.530487805,4946.11561983
100.0 and 220.0 + 820.0 + 1000.0,247.820386758,5338.814701529
100.0 and 330.0 + 470.0 + 680.0,250.862537548,3672.985196963
100.0 and 330.0 + 470.0 + 820.0,256.801873998,4065.684278662
100.0 and 330.0 + 470.0 + 1000.0,262.391372631,4556.558130785
100.0 and 330.0 + 680.0 + 820.0,274.812844385,4631.170956308
100.0 and 330.0 + 680.0 + 1000.0,281.788723266,5122.044808431
100.0 and 330.0 + 820.0 + 1000.0,290.482894552,5514.74389013
100.0 and 470.0 + 680.0 + 820.0,307.565341359,4882.498368595
100.0 and 470.0 + 680.0 + 1000.0,317.474142624,5373.372220718
100.0 and 470.0 + 820.0 + 1000.0,330.034618599,5766.071302417
100.0 and 680.0 + 820.0 + 1000.0,370.99533437,6331.557980063
100.0 and 47.0 + 100.0 + 220.0 + 330.0,125.738466645,2233.813748372
