Combination,Cap(uF),Total_Volume(mm^2)
47.0 and 47.0 + 220.0 + 330.0 + 680.0,79.978330884,3334.800601786
47.0 and 47.0 + 220.0 + 330.0 + 820.0,80.253673587,3727.499683484
47.0 and 47.0 + 220.0 + 330.0 + 1000.0,80.498196583,4218.373535608
47.0 and 47.0 + 220.0 + 330.0 + 1500.0,80.876463393,4831.965850762
47.0 and 47.0 + 220.0 + 330.0 + 1800.0,81.004457924,5445.558165916
47.0 and 47.0 + 220.0 + 330.0 + 2200.0,81.121658783,6059.15048107
47.0 and 47.0 + 220.0 + 330.0 + 2700.0,81.219945087,6790.552520734
47.0 and 47.0 + 220.0 + 470.0 + 680.0,80.990138258,3586.128014073
47.0 and 47.0 + 220.0 + 470.0 + 820.0,81.282710658,3978.827095771
47.0 and 47.0 + 220.0 + 470.0 + 1000.0,81.54266052,4469.700947895
47.0 and 47.0 + 220.0 + 470.0 + 1500.0,81.945025234,5083.293263049
47.0 and 47.0 + 220.0 + 470.0 + 1800.0,82.081237984,5696.885578203
47.0 and 47.0 + 220.0 + 470.0 + 2200.0,82.205992509,6310.477893358
47.0 and 47.0 + 220.0 + 470.0 + 2700.0,82.310634423,7041.879933022
47.0 and 47.0 + 220.0 + 680.0 + 820.0,82.072766337,4544.313773418
47.0 and 47.0 + 220.0 + 680.0 + 1000.0,82.344883055,5035.187625541
47.0 and 47.0 + 220.0 + 680.0 + 1500.0,82.766267907,5648.779940695
47.0 and 47.0 + 220.0 + 680.0 + 1800.0,82.908971228,6262.37225585
47.0 and 47.0 + 220.0 + 680.0 + 2200.0,83.039693279,6875.964571004
47.0 and 47.0 + 220.0 + 680.0 + 2700.0,83.149357569,7607.366610668
47.0 and 47.0 + 220.0 + 820.0 + 1000.0,82.661350915,5427.88670724
47.0 and 47.0 + 220.0 + 820.0 + 1500.0,83.090361261,6041.479022394
47.0 and 47.0 + 220.0 + 820.0 + 1800.0,83.235667743,6655.071337548
47.0 and 47.0 + 220.0 + 820.0 + 2200.0,83.368783618,7268.663652703
47.0 and 47.0 + 220.0 + 820.0 + 2700.0,83.480462916,8000.065692366
47.0 and 47.0 + 220.0 + 1000.0 + 1500.0,83.378562214,6532.352874517
47.0 and 47.0 + 220.0 + 1000.0 + 1800.0,83.52620341,7145.945189672
47.0 and 47.0 + 220.0 + 1000.0 + 2200.0,83.661466459,7759.537504826
47.0 and 47.0 + 220.0 + 1000.0 + 2700.0,83.774953304,8490.93954449
47.0 and 47.0 + 220.0 + 1500.0 + 1800.0,83.976405986,7759.537504826
47.0 and 47.0 + 220.0 + 1500.0 + 2200.0,84.115030271,8373.12981998
47.0 and 47.0 + 220.0 + 1500.0 + 2700.0,84.231346986,9104.531859644
47.0 and 47.0 + 220.0 + 1800.0 + 2200.0,84.268722467,8986.722135134
47.0 and 47.0 + 220.0 + 1800.0 + 2700.0,84.386006026,9718.124174798
47.0 and 47.0 + 220.0 + 2200.0 + 2700.0,84.527724383,10331.716489953
47.0 and 47.0 + 330.0 + 470.0 + 680.0,82.835683463,3762.057202674
47.0 and 47.0 + 330.0 + 470.0 + 820.0,83.161041767,4154.756284373
47.0 and 47.0 + 330.0 + 470.0 + 1000.0,83.450377194,4645.630136496
47.0 and 47.0 + 330.0 + 470.0 + 1500.0,83.898701052,5259.22245165
47.0 and 47.0 + 330.0 + 470.0 + 1800.0,84.050603177,5872.814766804
47.0 and 47.0 + 330.0 + 470.0 + 2200.0,84.189785397,6486.407081959
47.0 and 47.0 + 330.0 + 470.0 + 2700.0,84.306571879,7217.809121623
47.0 and 47.0 + 330.0 + 680.0 + 820.0,84.041153811,4720.242962019
47.0 and 47.0 + 330.0 + 680.0 + 1000.0,84.34480385,5211.116814142
47.0 and 47.0 + 330.0 + 680.0 + 1500.0,84.815541848,5824.709129296
47.0 and 47.0 + 330.0 + 680.0 + 1800.0,84.975102858,6438.301444451
47.0 and 47.0 + 330.0 + 680.0 + 2200.0,85.12133129,7051.893759605
