Combination,Cap(uF),Vol(mm^3)
47.0 + 330.0 + 470.0 + 680.0 + 820.0,3.434e-05,5509.5681162331
47.0 + 330.0 + 470.0 + 680.0 + 1000.0,3.460e-05,6000.441968356505
47.0 + 330.0 + 470.0 + 820.0 + 1000.0,3.490e-05,6393.141050055229
47.0 + 330.0 + 680.0 + 820.0 + 1000.0,3.572e-05,6958.627727701392
47.0 + 470.0 + 680.0 + 820.0 + 1000.0,3.691e-05,7209.955139988576
100.0 + 220.0 + 330.0 + 470.0 + 680.0,4.723e-05,4251.038245223395
100.0 + 220.0 + 330.0 + 470.0 + 820.0,4.779e-05,4643.737326922119
100.0 + 220.0 + 330.0 + 470.0 + 1000.0,4.830e-05,5134.611179045524
100.0 + 220.0 + 330.0 + 680.0 + 820.0,4.934e-05,5209.224004568281
100.0 + 220.0 + 330.0 + 680.0 + 1000.0,4.988e-05,5700.097856691687
100.0 + 220.0 + 330.0 + 820.0 + 1000.0,5.052e-05,6092.796938390411
100.0 + 220.0 + 470.0 + 680.0 + 820.0,5.164e-05,5460.5514168554655
100.0 + 220.0 + 470.0 + 680.0 + 1000.0,5.224e-05,5951.42526897887
100.0 + 220.0 + 470.0 + 820.0 + 1000.0,5.293e-05,6344.1243506775945
100.0 + 220.0 + 680.0 + 820.0 + 1000.0,5.484e-05,6909.611028323758
100.0 + 330.0 + 470.0 + 680.0 + 820.0,5.603e-05,5636.480605456494
100.0 + 330.0 + 470.0 + 680.0 + 1000.0,5.673e-05,6127.354457579899
100.0 + 330.0 + 470.0 + 820.0 + 1000.0,5.755e-05,6520.053539278623
100.0 + 330.0 + 680.0 + 820.0 + 1000.0,5.981e-05,7085.540216924786
100.0 + 470.0 + 680.0 + 820.0 + 1000.0,6.322e-05,7336.867629211969
220.0 + 330.0 + 470.0 + 680.0 + 820.0,8.069e-05,5871.636669559324
220.0 + 330.0 + 470.0 + 680.0 + 1000.0,8.214e-05,6362.510521682729
220.0 + 330.0 + 470.0 + 820.0 + 1000.0,8.387e-05,6755.209603381453
220.0 + 330.0 + 680.0 + 820.0 + 1000.0,8.876e-05,7320.696281027616
